229
Amaranth, Amaranthus cruentus
Arugula Eruca, sativa
Beet  Beta, vulgaris vulgaris
Bok choy, Brassica rapa (chinensis)
Borage greens, Borago officinalis
Broccoli, Brassica oleracea
Brussels sprouts, Brassica oleracea (gemmifera)
Cabbage, Brassica oleracea (capitata)
Catsear, Hypochaeris radicata
Celery, Apium graveolens
Celtuce, Lactuca sativa (asparagina)
Chaya, Cnidoscolus aconitifolius aconitifolius
Chickweed, Stellaria
Chicory, Cichorium intybus
Chinese mallow, Malva verticillata
Chrysanthemum, Chrysanthemum coronarium
Collard greens, Brassica oleracea
Common purslane, Portulaca oleracea
Corn salad, Valerianella locusta
Cress, Lepidium sativum
Dandelion, Taraxacum officinale
Dill, Anethum graveolens
Endive, Cichorium endivia
Fat hen, Chenopodium album
Fiddlehead, Pteridium aquilinum
Athyrium, esculentum
Fluted pumpkin, Telfairia occidentalis
Garden rocket, Eruca sativa
Golden samphire, Inula crithmoides
Good King Henry, Chenopodium bonus-henricus
Grape, Vitis
Greater plantain, Plantago major
Kai-lan, Brassica rapa (alboglabra)
Kale, Brassica oleracea (acephala)
Komatsuna, Brassica rapa (pervidis / komatsuna)
Kuka, Adansonia
Lagos bologi, Talinum fruticosum
Lamb's lettuce, Valerianella locusta
Lamb's quarters, Chenopodium album
Land cress, Barbarea verna
Lettuce, Lactuca sativa
Lizard's tail, Houttuynia cordata
Malabar spinach, Basella alba
Melokhia, Corchorus olitorius/Corchorus capsularis
Miner's lettuce, Claytonia perfoliata
Mizuna greens, Brassica rapa (nipposinica)
Mustard, Sinapis alba
Napa cabbage, Brassica rapa (pekinensis)
New Zealand Spinach, Tetragonia tetragonioides
Orache, Atriplex hortensis
Pak choy, Brassica rapa (chinensis)
Paracress, Acmella oleracea
Pea, Pisum sativum
Poke, Phytolacca americana
Radicchio, Cichorium intybus
Rapini, Brassica rapa rapa
Samphire, Crithmum maritimum
Sculpit / Stridolo, Silene inflata
Sea beet, Beta vulgaris maritima
Sea kale, Crambe maritima
Sierra Leone bologi, Crassocephalum
Soko, Celosia argentea
Sorrel, Rumex acetosa
Sour cabbage, Brassica oleracea
Spinach, Spinacia oleracea
Summer purslane, Portulaca oleracea
Swiss chard, Beta vulgaris cicla (flavescens)
Tatsoi, Brassica rapa (rosularis)
Turnip greens, Brassica rapa (rapifera)
Watercress, Nasturtium officinale
Water spinach, Ipomoea aquatica
Wheatgrass, Triticum aestivum
Yarrow, Achillea millefolium
Yao choy, Brassica napus
Avocado, Persea americana
Bell pepper, Capsicum annuum
Bitter melon, Momordica charantia
Chayote, Sechium edule
